Alternativo
Axé
Blues
Bolero
Bossa Nova
Brega
Clássico
Country
Cuarteto
Cumbia
Dance
Disco
Eletrônica
Emocore
Fado
Folk
Forró
Funk
Funk Carioca
Gospel/Religioso
Gótico
Grunge
Guarânia
Hard Rock
Hardcore
Heavy Metal
Hip Hop/Rap
House
Indie
Industrial
Infantil
Instrumental
J-Pop/J-Rock
Jazz
Jovem Guarda
K-Pop/K-Rock
Mambo
Marchas/Hinos
Mariachi
Merengue
MPB
Música andina
New Age
New Wave
Pagode
Pop
Pop Rock
Post-Rock
Power-Pop
Psicodelia
Punk Rock
R&B
Ranchera
Reggae
Reggaeton
Regional
Rock
Rock Progressivo
Rockabilly
Romântico
Salsa
Samba
Samba Enredo
Sertanejo
Ska
Soft Rock
Soul
Surf Music
Tango
Tecnopop
Trova
Velha Guarda
World Music
Zamba
Zouk
